!SIL 1.0	SIL
<UNK> 1.0	spn
khẩu 1.0	x 7_X3 w3
khắc 1.0	x a_X5b k5b
khắp 1.0	x a_X5b p5b
khẽ 1.0	x E4
khịch 1.0	x i6b k6b
khọm 1.0	x O6a m6a
khỏi 1.0	x O3 j3
khố 1.0	x o5a
khối 1.0	x o5a j5a
khổ 1.0	x o3
khổng 1.0	x o3 Nm3
khởi 1.0	x 73 j3
khục 1.0	x u6b kp6b
khứ 1.0	x M5a
ki 1.0	k i1
kia 1.0	k ie1
kim 1.0	k i1 m1
kinh 1.0	k i1 J1
kiên 1.0	k ie1 n1
kiêng 1.0	k ie1 N1
kiếm 1.0	k ie5a m5a
kiến 1.0	k ie5a n5a
kiết 1.0	k ie5b t5b
kiểm 1.0	k ie3 m3
kiểu 1.0	k ie3 w3
kiện 1.0	k ie6a n6a
kèm 1.0	k E2 m2
kéo 1.0	k E5a w5a
kép 1.0	k E5b p5b
két 1.0	k E5b t5b
kê 1.0	k e1
kênh 1.0	k e1 J1
kêu 1.0	k e1 w1
kìa 1.0	k ie2
kìm 1.0	k i2 m2
kích 1.0	k i5b k5b
kín 1.0	k i5a n5a
kính 1.0	k i5a J5a
kít 1.0	k i5b t5b
ký 1.0	k i5a
kĩ 1.0	k i4
kưn 1.0	k M1 n1
kẹt 1.0	k E6b t6b
kẻ 1.0	k E3
kẽ 1.0	k E4
kẽo 1.0	k E4 w4
kế 1.0	k e5a
kết 1.0	k e5b t5b
kề 1.0	k e2
kể 1.0	k e3
kịp 1.0	k i6b p6b
kỳ 1.0	k i2
kỵ 1.0	k i6a
kỷ 1.0	k i3
kỹ 1.0	k i4
la 1.0	l a1
lai 1.0	l a1 j1
lam 1.0	l a1 m1
lan 1.0	l a1 n1
lang 1.0	l a1 N1
lanh 1.0	l E_X1 J1
lao 1.0	l a1 w1
lau 1.0	l a_X1 w1
len 1.0	l E1 n1
lin 1.0	l i1 n1
linh 1.0	l i1 J1
liên 1.0	l ie1 n1
